CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
School Student,"72,369",July 2016,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"425,179",July 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"9,115",July 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"2,525",July 2016,T4 Eastern Suburbs and Illawarra Line
Adult,"335,951",July 2016,T5 Cumberland Line
Child/Youth,"13,530",July 2016,T5 Cumberland Line
Concession,"43,237",July 2016,T5 Cumberland Line
CTP,nan,July 2016,T5 Cumberland Line
Employee,"2,743",July 2016,T5 Cumberland Line
Free Travel,98,July 2016,T5 Cumberland Line
School Student,"7,556",July 2016,T5 Cumberland Line
Senior/Pensioner,"47,463",July 2016,T5 Cumberland Line
Sgl Trip Rail Adult,324,July 2016,T5 Cumberland Line
Sgl Trip Rail Child/Youth,84,July 2016,T5 Cumberland Line
Adult,"31,864",July 2016,T6 Carlingford Line
Child/Youth,790,July 2016,T6 Carlingford Line
Concession,"2,667",July 2016,T6 Carlingford Line
CTP,nan,July 2016,T6 Carlingford Line
Day Pass without SAF,nan,July 2016,T6 Carlingford Line
Employee,175,July 2016,T6 Carlingford Line
Free Travel,12,July 2016,T6 Carlingford Line
School Student,366,July 2016,T6 Carlingford Line
Senior/Pensioner,"3,095",July 2016,T6 Carlingford Line
Sgl Trip Rail Adult,10,July 2016,T6 Carlingford Line
Sgl Trip Rail Child/Youth,2,July 2016,T6 Carlingford Line
Adult,"124,590",July 2016,T7 Olympic Park Line
Child/Youth,"7,793",July 2016,T7 Olympic Park Line
Concession,"9,387",July 2016,T7 Olympic Park Line
CTP,nan,July 2016,T7 Olympic Park Line
Day Pass without SAF,nan,July 2016,T7 Olympic Park Line
Employee,437,July 2016,T7 Olympic Park Line
Free Travel,35,July 2016,T7 Olympic Park Line
School Student,"1,175",July 2016,T7 Olympic Park Line
Senior/Pensioner,"8,427",July 2016,T7 Olympic Park Line
Sgl Trip Rail Adult,291,July 2016,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,65,July 2016,T7 Olympic Park Line
Adult,"537,669",July 2016,Blue Mountains Line
Child/Youth,"36,387",July 2016,Blue Mountains Line
Concession,"60,238",July 2016,Blue Mountains Line
CTP,nan,July 2016,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,July 2016,Blue Mountains Line
Day Pass without SAF,nan,July 2016,Blue Mountains Line
Employee,"10,085",July 2016,Blue Mountains Line
Free Travel,919,July 2016,Blue Mountains Line
School Student,"14,260",July 2016,Blue Mountains Line
Senior/Pensioner,"99,285",July 2016,Blue Mountains Line
Sgl Trip Rail Adult,"1,341",July 2016,Blue Mountains Line
Sgl Trip Rail Child/Youth,622,July 2016,Blue Mountains Line
Adult,"1,073,971",July 2016,Central Coast Newcastle Line
Child/Youth,"75,665",July 2016,Central Coast Newcastle Line
Concession,"120,568",July 2016,Central Coast Newcastle Line
CTP,nan,July 2016,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,July 2016,Central Coast Newcastle Line
Day Pass without SAF,nan,July 2016,Central Coast Newcastle Line
Employee,"21,733",July 2016,Central Coast Newcastle Line
Free Travel,"1,922",July 2016,Central Coast Newcastle Line
School Student,"64,031",July 2016,Central Coast Newcastle Line
Senior/Pensioner,"205,808",July 2016,Central Coast Newcastle Line
Sgl Trip Rail Adult,"2,030",July 2016,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,659,July 2016,Central Coast Newcastle Line
Adult,"35,095",July 2016,Hunter Line
Child/Youth,"3,417",July 2016,Hunter Line
Concession,"9,780",July 2016,Hunter Line
CTP,nan,July 2016,Hunter Line
Day Pass Child/Youth w/o SAF,nan,July 2016,Hunter Line
Day Pass without SAF,nan,July 2016,Hunter Line
Employee,660,July 2016,Hunter Line
Free Travel,103,July 2016,Hunter Line
School Student,"7,546",July 2016,Hunter Line
Senior/Pensioner,"16,455",July 2016,Hunter Line
Sgl Trip Rail Adult,335,July 2016,Hunter Line
Sgl Trip Rail Child/Youth,177,July 2016,Hunter Line
Adult,"534,213",July 2016,South Coast Line
Child/Youth,"34,743",July 2016,South Coast Line
Concession,"65,951",July 2016,South Coast Line
CTP,nan,July 2016,South Coast Line
Day Pass Child/Youth w/o SAF,nan,July 2016,South Coast Line
Day Pass without SAF,nan,July 2016,South Coast Line
Employee,"6,852",July 2016,South Coast Line
Free Travel,696,July 2016,South Coast Line
School Student,"13,036",July 2016,South Coast Line
Senior/Pensioner,"92,599",July 2016,South Coast Line
Sgl Trip Rail Adult,"1,514",July 2016,South Coast Line
Sgl Trip Rail Child/Youth,428,July 2016,South Coast Line
Adult,"44,136",July 2016,Southern Highlands Line
Child/Youth,"5,820",July 2016,Southern Highlands Line
Concession,"8,861",July 2016,Southern Highlands Line
CTP,nan,July 2016,Southern Highlands Line
Day Pass without SAF,nan,July 2016,Southern Highlands Line
Employee,883,July 2016,Southern Highlands Line
Free Travel,180,July 2016,Southern Highlands Line
School Student,776,July 2016,Southern Highlands Line
Senior/Pensioner,"16,183",July 2016,Southern Highlands Line
Sgl Trip Rail Adult,89,July 2016,Southern Highlands Line
Sgl Trip Rail Child/Youth,41,July 2016,Southern Highlands Line
Adult,nan,July 2016,Station Link
Child/Youth,nan,July 2016,Station Link
Concession,nan,July 2016,Station Link
Day Pass without SAF,nan,July 2016,Station Link
Employee,nan,July 2016,Station Link
Free Travel,nan,July 2016,Station Link
School Student,nan,July 2016,Station Link
Senior/Pensioner,nan,July 2016,Station Link
Sgl Trip Rail Adult,nan,July 2016,Station Link
Sgl Trip Rail Child/Youth,nan,July 2016,Station Link
Adult,nan,July 2016,T1 North Shore Line
Child/Youth,nan,July 2016,T1 North Shore Line
Concession,nan,July 2016,T1 North Shore Line
CTP,nan,July 2016,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T1 North Shore Line
Day Pass without SAF,nan,July 2016,T1 North Shore Line
Employee,nan,July 2016,T1 North Shore Line
Free Travel,nan,July 2016,T1 North Shore Line
School Student,nan,July 2016,T1 North Shore Line
Senior/Pensioner,nan,July 2016,T1 North Shore Line
Sgl Trip Rail Adult,nan,July 2016,T1 North Shore Line
Sgl Trip Rail Child/Youth,nan,July 2016,T1 North Shore Line
Adult,nan,July 2016,T1 Northern Line
Child/Youth,nan,July 2016,T1 Northern Line
Concession,nan,July 2016,T1 Northern Line
CTP,nan,July 2016,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T1 Northern Line
Day Pass without SAF,nan,July 2016,T1 Northern Line
Employee,nan,July 2016,T1 Northern Line
Free Travel,nan,July 2016,T1 Northern Line
School Student,nan,July 2016,T1 Northern Line
Senior/Pensioner,nan,July 2016,T1 Northern Line
Sgl Trip Rail Adult,nan,July 2016,T1 Northern Line
Sgl Trip Rail Child/Youth,nan,July 2016,T1 Northern Line
Adult,nan,July 2016,T1 Western Line
Child/Youth,nan,July 2016,T1 Western Line
Concession,nan,July 2016,T1 Western Line
CTP,nan,July 2016,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T1 Western Line
Day Pass without SAF,nan,July 2016,T1 Western Line
Employee,nan,July 2016,T1 Western Line
Free Travel,nan,July 2016,T1 Western Line
School Student,nan,July 2016,T1 Western Line
Senior/Pensioner,nan,July 2016,T1 Western Line
Sgl Trip Rail Adult,nan,July 2016,T1 Western Line
Sgl Trip Rail Child/Youth,nan,July 2016,T1 Western Line
Adult,nan,July 2016,T2 Inner West Line
Child/Youth,nan,July 2016,T2 Inner West Line
Concession,nan,July 2016,T2 Inner West Line
CTP,nan,July 2016,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T2 Inner West Line
Day Pass without SAF,nan,July 2016,T2 Inner West Line
Employee,nan,July 2016,T2 Inner West Line
Free Travel,nan,July 2016,T2 Inner West Line
School Student,nan,July 2016,T2 Inner West Line
Senior/Pensioner,nan,July 2016,T2 Inner West Line
Sgl Trip Rail Adult,nan,July 2016,T2 Inner West Line
Sgl Trip Rail Child/Youth,nan,July 2016,T2 Inner West Line
Adult,nan,July 2016,T2 Leppington Line
Child/Youth,nan,July 2016,T2 Leppington Line
Concession,nan,July 2016,T2 Leppington Line
CTP,nan,July 2016,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T2 Leppington Line
Day Pass without SAF,nan,July 2016,T2 Leppington Line
Employee,nan,July 2016,T2 Leppington Line
Free Travel,nan,July 2016,T2 Leppington Line
School Student,nan,July 2016,T2 Leppington Line
Senior/Pensioner,nan,July 2016,T2 Leppington Line
Sgl Trip Rail Adult,nan,July 2016,T2 Leppington Line
Sgl Trip Rail Child/Youth,nan,July 2016,T2 Leppington Line
Adult,nan,July 2016,T8 Airport and South Line
Child/Youth,nan,July 2016,T8 Airport and South Line
Concession,nan,July 2016,T8 Airport and South Line
CTP,nan,July 2016,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T8 Airport and South Line
Day Pass without SAF,nan,July 2016,T8 Airport and South Line
Employee,nan,July 2016,T8 Airport and South Line
Free Travel,nan,July 2016,T8 Airport and South Line
School Student,nan,July 2016,T8 Airport and South Line
Senior/Pensioner,nan,July 2016,T8 Airport and South Line
Sgl Trip Rail Adult,nan,July 2016,T8 Airport and South Line
Sgl Trip Rail Child/Youth,nan,July 2016,T8 Airport and South Line
Adult,nan,July 2016,T9 Northern Line
Child/Youth,nan,July 2016,T9 Northern Line
Concession,nan,July 2016,T9 Northern Line
CTP,nan,July 2016,T9 Northern Line
Employee,nan,July 2016,T9 Northern Line
Free Travel,nan,July 2016,T9 Northern Line
School Student,nan,July 2016,T9 Northern Line
Senior/Pensioner,nan,July 2016,T9 Northern Line
Sgl Trip Rail Adult,nan,July 2016,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,July 2016,T9 Northern Line
Total,"28,819,249",July 2016,Grand Total
Adult,"9,484,134",August 2016,"T1 North Shore, Northern and Western Line"
Child/Youth,"370,300",August 2016,"T1 North Shore, Northern and Western Line"
Concession,"1,081,373",August 2016,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,August 2016,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,August 2016,"T1 North Shore, Northern and Western Line"
Employee,"118,953",August 2016,"T1 North Shore, Northern and Western Line"
Free Travel,"11,477",August 2016,"T1 North Shore, Northern and Western Line"
School Student,"502,695",August 2016,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"986,891",August 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"79,617",August 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"19,407",August 2016,"T1 North Shore, Northern and Western Line"
Adult,"5,568,667",August 2016,"T2 Airport, Inner West and South Line"
Child/Youth,"202,533",August 2016,"T2 Airport, Inner West and South Line"
Concession,"624,672",August 2016,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,August 2016,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,August 2016,"T2 Airport, Inner West and South Line"
Employee,"71,633",August 2016,"T2 Airport, Inner West and South Line"
Free Travel,"6,570",August 2016,"T2 Airport, Inner West and South Line"
School Student,"196,783",August 2016,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"598,300",August 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"135,457",August 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"16,203",August 2016,"T2 Airport, Inner West and South Line"
Adult,"1,767,064",August 2016,T3 Bankstown Line
Child/Youth,"76,553",August 2016,T3 Bankstown Line
Concession,"215,917",August 2016,T3 Bankstown Line
CTP,nan,August 2016,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T3 Bankstown Line
Day Pass without SAF,nan,August 2016,T3 Bankstown Line
Employee,"15,391",August 2016,T3 Bankstown Line
Free Travel,"1,328",August 2016,T3 Bankstown Line
School Student,"68,907",August 2016,T3 Bankstown Line
Senior/Pensioner,"255,536",August 2016,T3 Bankstown Line
Sgl Trip Rail Adult,"14,894",August 2016,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"3,929",August 2016,T3 Bankstown Line
Adult,"4,389,115",August 2016,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"155,625",August 2016,T4 Eastern Suburbs and Illawarra Line
Concession,"343,152",August 2016,T4 Eastern Suburbs and Illawarra Line
CTP,nan,August 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,August 2016,T4 Eastern Suburbs and Illawarra Line
Employee,"49,142",August 2016,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,446",August 2016,T4 Eastern Suburbs and Illawarra Line
School Student,"171,232",August 2016,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"478,079",August 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"38,489",August 2016,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"7,702",August 2016,T4 Eastern Suburbs and Illawarra Line
Adult,"372,709",August 2016,T5 Cumberland Line
Child/Youth,"12,060",August 2016,T5 Cumberland Line
Concession,"52,604",August 2016,T5 Cumberland Line
CTP,nan,August 2016,T5 Cumberland Line
Employee,"3,250",August 2016,T5 Cumberland Line
Free Travel,129,August 2016,T5 Cumberland Line
School Student,"17,868",August 2016,T5 Cumberland Line
Senior/Pensioner,"53,395",August 2016,T5 Cumberland Line
Sgl Trip Rail Adult,"2,261",August 2016,T5 Cumberland Line
Sgl Trip Rail Child/Youth,450,August 2016,T5 Cumberland Line
Adult,"40,123",August 2016,T6 Carlingford Line
Child/Youth,"1,602",August 2016,T6 Carlingford Line
Concession,"5,146",August 2016,T6 Carlingford Line
CTP,nan,August 2016,T6 Carlingford Line
Day Pass without SAF,nan,August 2016,T6 Carlingford Line
Employee,229,August 2016,T6 Carlingford Line
Free Travel,12,August 2016,T6 Carlingford Line
School Student,816,August 2016,T6 Carlingford Line
Senior/Pensioner,"3,729",August 2016,T6 Carlingford Line
Sgl Trip Rail Adult,77,August 2016,T6 Carlingford Line
Sgl Trip Rail Child/Youth,4,August 2016,T6 Carlingford Line
Adult,"124,612",August 2016,T7 Olympic Park Line
Child/Youth,"5,922",August 2016,T7 Olympic Park Line
Concession,"11,671",August 2016,T7 Olympic Park Line
CTP,nan,August 2016,T7 Olympic Park Line
Day Pass without SAF,nan,August 2016,T7 Olympic Park Line
Employee,570,August 2016,T7 Olympic Park Line
Free Travel,73,August 2016,T7 Olympic Park Line
School Student,"2,552",August 2016,T7 Olympic Park Line
Senior/Pensioner,"8,560",August 2016,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,715",August 2016,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,211,August 2016,T7 Olympic Park Line
Adult,"578,758",August 2016,Blue Mountains Line
Child/Youth,"28,601",August 2016,Blue Mountains Line
Concession,"73,100",August 2016,Blue Mountains Line
CTP,nan,August 2016,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,August 2016,Blue Mountains Line
Day Pass without SAF,nan,August 2016,Blue Mountains Line
Employee,"11,719",August 2016,Blue Mountains Line
Free Travel,"1,158",August 2016,Blue Mountains Line
School Student,"31,641",August 2016,Blue Mountains Line
Senior/Pensioner,"106,916",August 2016,Blue Mountains Line
Sgl Trip Rail Adult,"5,392",August 2016,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,428",August 2016,Blue Mountains Line
Adult,"1,125,393",August 2016,Central Coast Newcastle Line
Child/Youth,"56,945",August 2016,Central Coast Newcastle Line
Concession,"145,413",August 2016,Central Coast Newcastle Line
CTP,nan,August 2016,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,August 2016,Central Coast Newcastle Line
Day Pass without SAF,nan,August 2016,Central Coast Newcastle Line
Employee,"23,970",August 2016,Central Coast Newcastle Line
Free Travel,"2,460",August 2016,Central Coast Newcastle Line
School Student,"95,296",August 2016,Central Coast Newcastle Line
Senior/Pensioner,"219,372",August 2016,Central Coast Newcastle Line
Sgl Trip Rail Adult,"11,626",August 2016,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"2,343",August 2016,Central Coast Newcastle Line
Adult,"29,693",August 2016,Hunter Line
Child/Youth,"2,749",August 2016,Hunter Line
Concession,"12,355",August 2016,Hunter Line
CTP,nan,August 2016,Hunter Line
Day Pass Child/Youth w/o SAF,nan,August 2016,Hunter Line
Day Pass without SAF,nan,August 2016,Hunter Line
Employee,553,August 2016,Hunter Line
Free Travel,95,August 2016,Hunter Line
School Student,"4,972",August 2016,Hunter Line
Senior/Pensioner,"14,253",August 2016,Hunter Line
Sgl Trip Rail Adult,570,August 2016,Hunter Line
Sgl Trip Rail Child/Youth,231,August 2016,Hunter Line
Adult,"602,210",August 2016,South Coast Line
Child/Youth,"29,180",August 2016,South Coast Line
Concession,"83,095",August 2016,South Coast Line
CTP,nan,August 2016,South Coast Line
Day Pass Child/Youth w/o SAF,nan,August 2016,South Coast Line
Day Pass without SAF,nan,August 2016,South Coast Line
Employee,"8,351",August 2016,South Coast Line
Free Travel,900,August 2016,South Coast Line
School Student,"30,954",August 2016,South Coast Line
Senior/Pensioner,"106,924",August 2016,South Coast Line
Sgl Trip Rail Adult,"5,992",August 2016,South Coast Line
Sgl Trip Rail Child/Youth,"1,318",August 2016,South Coast Line
Adult,"47,485",August 2016,Southern Highlands Line
Child/Youth,"4,918",August 2016,Southern Highlands Line
Concession,"7,958",August 2016,Southern Highlands Line
CTP,nan,August 2016,Southern Highlands Line
Day Pass without SAF,nan,August 2016,Southern Highlands Line
Employee,905,August 2016,Southern Highlands Line
Free Travel,182,August 2016,Southern Highlands Line
School Student,"1,960",August 2016,Southern Highlands Line
Senior/Pensioner,"17,403",August 2016,Southern Highlands Line
Sgl Trip Rail Adult,606,August 2016,Southern Highlands Line
Sgl Trip Rail Child/Youth,121,August 2016,Southern Highlands Line
Adult,nan,August 2016,Station Link
Child/Youth,nan,August 2016,Station Link
Concession,nan,August 2016,Station Link
Day Pass without SAF,nan,August 2016,Station Link
Employee,nan,August 2016,Station Link
Free Travel,nan,August 2016,Station Link
School Student,nan,August 2016,Station Link
Senior/Pensioner,nan,August 2016,Station Link
Sgl Trip Rail Adult,nan,August 2016,Station Link
Sgl Trip Rail Child/Youth,nan,August 2016,Station Link
Adult,nan,August 2016,T1 North Shore Line
Child/Youth,nan,August 2016,T1 North Shore Line
Concession,nan,August 2016,T1 North Shore Line
CTP,nan,August 2016,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T1 North Shore Line
Day Pass without SAF,nan,August 2016,T1 North Shore Line
Employee,nan,August 2016,T1 North Shore Line
Free Travel,nan,August 2016,T1 North Shore Line
School Student,nan,August 2016,T1 North Shore Line
Senior/Pensioner,nan,August 2016,T1 North Shore Line
Sgl Trip Rail Adult,nan,August 2016,T1 North Shore Line
Sgl Trip Rail Child/Youth,nan,August 2016,T1 North Shore Line
Adult,nan,August 2016,T1 Northern Line
Child/Youth,nan,August 2016,T1 Northern Line
Concession,nan,August 2016,T1 Northern Line
CTP,nan,August 2016,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T1 Northern Line
Day Pass without SAF,nan,August 2016,T1 Northern Line
Employee,nan,August 2016,T1 Northern Line
Free Travel,nan,August 2016,T1 Northern Line
School Student,nan,August 2016,T1 Northern Line
Senior/Pensioner,nan,August 2016,T1 Northern Line
Sgl Trip Rail Adult,nan,August 2016,T1 Northern Line
Sgl Trip Rail Child/Youth,nan,August 2016,T1 Northern Line
Adult,nan,August 2016,T1 Western Line
Child/Youth,nan,August 2016,T1 Western Line
Concession,nan,August 2016,T1 Western Line
CTP,nan,August 2016,T1 Western Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T1 Western Line
Day Pass without SAF,nan,August 2016,T1 Western Line
Employee,nan,August 2016,T1 Western Line
Free Travel,nan,August 2016,T1 Western Line
School Student,nan,August 2016,T1 Western Line
Senior/Pensioner,nan,August 2016,T1 Western Line
Sgl Trip Rail Adult,nan,August 2016,T1 Western Line
Sgl Trip Rail Child/Youth,nan,August 2016,T1 Western Line
Adult,nan,August 2016,T2 Inner West Line
Child/Youth,nan,August 2016,T2 Inner West Line
Concession,nan,August 2016,T2 Inner West Line
CTP,nan,August 2016,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T2 Inner West Line
Day Pass without SAF,nan,August 2016,T2 Inner West Line
Employee,nan,August 2016,T2 Inner West Line
Free Travel,nan,August 2016,T2 Inner West Line
School Student,nan,August 2016,T2 Inner West Line
Senior/Pensioner,nan,August 2016,T2 Inner West Line
Sgl Trip Rail Adult,nan,August 2016,T2 Inner West Line
Sgl Trip Rail Child/Youth,nan,August 2016,T2 Inner West Line
Adult,nan,August 2016,T2 Leppington Line
Child/Youth,nan,August 2016,T2 Leppington Line
Concession,nan,August 2016,T2 Leppington Line
CTP,nan,August 2016,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T2 Leppington Line
Day Pass without SAF,nan,August 2016,T2 Leppington Line
Employee,nan,August 2016,T2 Leppington Line
Free Travel,nan,August 2016,T2 Leppington Line
School Student,nan,August 2016,T2 Leppington Line
Senior/Pensioner,nan,August 2016,T2 Leppington Line
Sgl Trip Rail Adult,nan,August 2016,T2 Leppington Line
Sgl Trip Rail Child/Youth,nan,August 2016,T2 Leppington Line
Adult,nan,August 2016,T8 Airport and South Line
Child/Youth,nan,August 2016,T8 Airport and South Line
Concession,nan,August 2016,T8 Airport and South Line
CTP,nan,August 2016,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,August 2016,T8 Airport and South Line
Day Pass without SAF,nan,August 2016,T8 Airport and South Line
Employee,nan,August 2016,T8 Airport and South Line
Free Travel,nan,August 2016,T8 Airport and South Line
School Student,nan,August 2016,T8 Airport and South Line
Senior/Pensioner,nan,August 2016,T8 Airport and South Line
Sgl Trip Rail Adult,nan,August 2016,T8 Airport and South Line
Sgl Trip Rail Child/Youth,nan,August 2016,T8 Airport and South Line
Adult,nan,August 2016,T9 Northern Line
Child/Youth,nan,August 2016,T9 Northern Line
Concession,nan,August 2016,T9 Northern Line
CTP,nan,August 2016,T9 Northern Line
Employee,nan,August 2016,T9 Northern Line
Free Travel,nan,August 2016,T9 Northern Line
School Student,nan,August 2016,T9 Northern Line
Senior/Pensioner,nan,August 2016,T9 Northern Line
Sgl Trip Rail Adult,nan,August 2016,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,August 2016,T9 Northern Line
Total,"32,393,980",August 2016,Grand Total
Adult,"8,956,112",September 2016,"T1 North Shore, Northern and Western Line"
Child/Youth,"425,154",September 2016,"T1 North Shore, Northern and Western Line"
Concession,"855,554",September 2016,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,September 2016,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,September 2016,"T1 North Shore, Northern and Western Line"
Employee,"116,703",September 2016,"T1 North Shore, Northern and Western Line"
Free Travel,"11,259",September 2016,"T1 North Shore, Northern and Western Line"
School Student,"375,289",September 2016,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"958,036",September 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"80,999",September 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"23,395",September 2016,"T1 North Shore, Northern and Western Line"
Adult,"5,382,635",September 2016,"T2 Airport, Inner West and South Line"
Child/Youth,"228,278",September 2016,"T2 Airport, Inner West and South Line"
Concession,"506,205",September 2016,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,September 2016,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,September 2016,"T2 Airport, Inner West and South Line"
Employee,"71,296",September 2016,"T2 Airport, Inner West and South Line"
Free Travel,"6,399",September 2016,"T2 Airport, Inner West and South Line"
School Student,"144,178",September 2016,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"592,001",September 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"142,834",September 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"19,167",September 2016,"T2 Airport, Inner West and South Line"
Adult,"1,689,548",September 2016,T3 Bankstown Line
Child/Youth,"86,852",September 2016,T3 Bankstown Line
Concession,"174,931",September 2016,T3 Bankstown Line
CTP,nan,September 2016,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,September 2016,T3 Bankstown Line
Day Pass without SAF,nan,September 2016,T3 Bankstown Line
Employee,"15,547",September 2016,T3 Bankstown Line
